"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.14  
MgO     ,  5.46    ,  0.17  
Al2O3   ,  9.32    ,  0.19  
SiO2    , 48.86    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  7.02    ,  0.12  
Cl      ,  1.24    ,  0.03  
K2O     ,  1.02    ,  0.04  
CaO     ,  4.65    ,  0.06  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 17.15    ,  0.20  
Ni      ,  0.0817  ,  0.0045
Zn      ,  0.0981  ,  0.0030
Br      ,  0.0022  ,  0.0005
