"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.22    ,  0.14  
MgO     ,  5.61    ,  0.17  
Al2O3   ,  7.99    ,  0.19  
SiO2    , 41.35    ,  0.43  
P2O5    ,  1.17    ,  0.07  
SO3     , 12.77    ,  0.15  
Cl      ,  0.82    ,  0.03  
K2O     ,  0.76    ,  0.02  
CaO     ,  6.21    ,  0.07  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 19.22    ,  0.20  
Ni      ,  0.1001  ,  0.0055
Zn      ,  0.1225  ,  0.0040
Br      ,  0.0087  ,  0.0010
