"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.14  
MgO     ,  7.35    ,  0.17  
Al2O3   ,  8.51    ,  0.19  
SiO2    , 46.83    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  5.68    ,  0.08  
Cl      ,  1.46    ,  0.02  
K2O     ,  0.70    ,  0.02  
CaO     ,  4.17    ,  0.04  
TiO2    ,  1.18    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 19.59    ,  0.26  
Ni      ,  0.0694  ,  0.0035
Zn      ,  0.3511  ,  0.0110
Br      ,  0.1086  ,  0.0035
