"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.14  
MgO     ,  5.35    ,  0.17  
Al2O3   , 10.21    ,  0.29  
SiO2    , 52.28    ,  0.64  
P2O5    ,  0.72    ,  0.05  
SO3     ,  5.75    ,  0.12  
Cl      ,  1.23    ,  0.04  
K2O     ,  1.17    ,  0.04  
CaO     ,  3.47    ,  0.06  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.09    ,  0.01  
FeO     , 15.52    ,  0.20  
Ni      ,  0.0867  ,  0.0045
Zn      ,  0.0548  ,  0.0020
Br      ,  0.0024  ,  0.0005
