"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.16    ,  0.14  
MgO     ,  5.86    ,  0.17  
Al2O3   ,  6.18    ,  0.19  
SiO2    , 52.73    ,  0.75  
P2O5    ,  1.05    ,  0.07  
SO3     , 12.56    ,  0.22  
Cl      ,  1.00    ,  0.04  
K2O     ,  0.43    ,  0.02  
CaO     ,  6.57    ,  0.10  
TiO2    ,  0.92    ,  0.05  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.09    ,  0.01  
FeO     ,  9.81    ,  0.13  
Ni      ,  0.0201  ,  0.0025
Zn      ,  0.0234  ,  0.0020
Br      ,  0.0429  ,  0.0015
