"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.20  
MgO     ,  6.05    ,  0.25  
Al2O3   ,  7.63    ,  0.29  
SiO2    , 38.44    ,  0.54  
P2O5    ,  1.09    ,  0.07  
SO3     , 14.80    ,  0.30  
Cl      ,  0.95    ,  0.05  
K2O     ,  0.62    ,  0.04  
CaO     ,  9.74    ,  0.13  
TiO2    ,  0.91    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 16.85    ,  0.20  
Ni      ,  0.0608  ,  0.0050
Zn      ,  0.0971  ,  0.0040
Br      ,  0.0135  ,  0.0020
