"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.14  
MgO     ,  5.03    ,  0.17  
Al2O3   , 10.30    ,  0.29  
SiO2    , 53.54    ,  0.64  
P2O5    ,  0.88    ,  0.05  
SO3     ,  4.18    ,  0.05  
Cl      ,  1.07    ,  0.02  
K2O     ,  0.95    ,  0.04  
CaO     ,  3.54    ,  0.04  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.16    ,  0.01  
FeO     , 16.13    ,  0.20  
Ni      ,  0.1055  ,  0.0055
Zn      ,  0.0731  ,  0.0025
Br      ,  0.0096  ,  0.0005
