" oxide", " APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,1.94,0.4
MgO     ,6.67,0.3
Al2O3   ,7.9,0.4
SiO2    ,43.8,0.5
P2O5    ,0.73,0.3
SO3     ,3.08,0.1
  Cl    ,0.66,0.03
K2O     ,2.27,0.1
CaO     ,6.39,0.1
TiO2    ,1.44,0.1
Cr2O3   ,0.31,0.1
MnO     ,0.82,0.1
FeO     ,23.7,0.2
  Ni    ,0.0292,0.005
  Zn    ,0.1079,0.01
  Br    ,0.0008,0.002
