" oxide", " APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,1.85,0.4
MgO     ,6.89,0.3
Al2O3   ,8,0.4
SiO2    ,44.1,0.5
P2O5    ,0.82,0.2
SO3     ,3.3,0.1
  Cl    ,0.73,0.03
K2O     ,3,0.1
CaO     ,6.55,0.1
TiO2    ,1.37,0.1
Cr2O3   ,0.25,0.1
MnO     ,0.43,0.1
FeO     ,22.5,0.2
  Ni    ,0.0229,0.005
  Zn    ,0.0978,0.01
  Br    ,0.0027,0.002
