"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.20  
MgO     ,  5.15    ,  0.25  
Al2O3   ,  9.18    ,  0.29  
SiO2    , 49.59    ,  0.75  
P2O5    ,  0.95    ,  0.07  
SO3     ,  4.71    ,  0.17  
Cl      ,  1.33    ,  0.06  
K2O     ,  1.08    ,  0.04  
CaO     ,  3.04    ,  0.07  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     , 20.62    ,  0.26  
Ni      ,  0.0918  ,  0.0065
Zn      ,  0.1713  ,  0.0055
Br      ,  0.0438  ,  0.0020
