"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.14  
MgO     ,  4.83    ,  0.17  
Al2O3   ,  8.97    ,  0.19  
SiO2    , 50.37    ,  0.54  
P2O5    ,  1.08    ,  0.07  
SO3     ,  3.94    ,  0.05  
Cl      ,  1.18    ,  0.02  
K2O     ,  1.08    ,  0.04  
CaO     ,  3.07    ,  0.04  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 21.17    ,  0.26  
Ni      ,  0.0992  ,  0.0050
Zn      ,  0.0951  ,  0.0030
Br      ,  0.0936  ,  0.0030
