"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.04    ,  0.48  
MgO     ,  6.70    ,  1.42  
Al2O3   ,  7.32    ,  0.19  
SiO2    , 36.69    ,  0.43  
P2O5    ,  1.00    ,  0.21  
SO3     ,  9.81    ,  0.17  
Cl      ,  1.33    ,  0.04  
K2O     ,  0.54    ,  0.11  
CaO     ,  6.60    ,  0.08  
TiO2    ,  0.84    ,  0.19  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.24    ,  0.03  
FeO     , 26.28    ,  0.33  
Ni      ,  0.0600  ,  0.0045
Zn      ,  0.1025  ,  0.0035
Br      ,  0.0239  ,  0.0015
