"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.14  
MgO     ,  6.05    ,  0.17  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 47.23    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  7.87    ,  0.12  
Cl      ,  1.08    ,  0.03  
K2O     ,  0.74    ,  0.02  
CaO     ,  4.57    ,  0.06  
TiO2    ,  0.97    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.42    ,  0.03  
FeO     , 18.28    ,  0.20  
Ni      ,  0.0889  ,  0.0045
Zn      ,  0.2161  ,  0.0065
Br      ,  0.0343  ,  0.0015
