"Target: McGrath_center, Contains DAT files: APB_421512512ESC02710060000_______M2.DAT"
 7091.9  ,   14328
 7116.2  ,   11274
 7140.6  ,    8101
 7165.0  ,    5053
 7189.3  ,    3083
 7213.7  ,    1765
 7238.1  ,     898
 7262.4  ,     599
 7286.8  ,     372
 7311.2  ,     318
 7335.5  ,     359
 7359.9  ,     401
 7384.3  ,     468
 7408.6  ,     571
 7433.0  ,     647
 7457.4  ,     659
 7481.7  ,     631
 7506.1  ,     583
 7530.5  ,     479
 7554.8  ,     336
 7579.2  ,     321
 7603.6  ,     230
 7627.9  ,     191
 7652.3  ,     172
 7676.7  ,     175
 7701.1  ,     167
 7725.4  ,     138
 7749.8  ,     172
 7774.2  ,     160
 7798.5  ,     130
 7822.9  ,     163
 7847.3  ,     180
 7871.6  ,     175
 7896.0  ,     159
 7920.4  ,     155
 7944.7  ,     179
 7969.1  ,     192
 7993.5  ,     200
 8017.8  ,     170
 8042.2  ,     178
 8066.6  ,     160
 8090.9  ,     152
 8115.3  ,     191
 8139.7  ,     209
 8164.0  ,     192
 8188.4  ,     209
 8212.8  ,     205
 8237.1  ,     229
 8261.5  ,     228
 8285.9  ,     207
 8310.2  ,     208
 8334.6  ,     184
 8359.0  ,     186
 8383.3  ,     194
 8407.7  ,     208
 8432.1  ,     218
 8456.5  ,     285
 8480.8  ,     437
 8505.2  ,     585
 8529.6  ,     692
 8553.9  ,     846
 8578.3  ,    1005
 8602.7  ,    1120
 8627.0  ,    1115
 8651.4  ,    1026
 8675.8  ,     900
 8700.1  ,     765
 8724.5  ,     559
 8748.9  ,     408
 8773.2  ,     295
 8797.6  ,     242
 8822.0  ,     150
 8846.3  ,     178
 8870.7  ,     147
 8895.1  ,     138
 8919.4  ,     147
 8943.8  ,     140
 8968.2  ,     135
 8992.5  ,     152
 9016.9  ,     129
 9041.3  ,     134
 9065.6  ,     168
 9090.0  ,     142
 9114.4  ,     151
 9138.7  ,     146
 9163.1  ,     147
 9187.5  ,     166
 9211.9  ,     166
 9236.2  ,     169
 9260.6  ,     176
 9285.0  ,     143
 9309.3  ,     155
 9333.7  ,     152
 9358.1  ,     137
 9382.4  ,     166
 9406.8  ,     158
 9431.2  ,     206
 9455.5  ,     211
 9479.9  ,     254
 9504.3  ,     274
 9528.6  ,     253
 9553.0  ,     307
 9577.4  ,     290
 9601.7  ,     285
 9626.1  ,     264
 9650.5  ,     255
 9674.8  ,     211
 9699.2  ,     238
 9723.6  ,     235
 9747.9  ,     204
 9772.3  ,     245
 9796.7  ,     274
 9821.0  ,     320
 9845.4  ,     302
 9869.8  ,     345
 9894.1  ,     295
 9918.5  ,     306
 9942.9  ,     268
 9967.3  ,     229
 9991.6  ,     212
10016.0  ,     150
10040.4  ,     149
10064.7  ,     143
10089.1  ,     123
10113.5  ,     118
10137.8  ,     126
10162.2  ,     114
10186.6  ,     110
10210.9  ,     134
10235.3  ,     138
10259.7  ,     134
10284.0  ,     115
10308.4  ,     114
10332.8  ,     131
10357.1  ,     128
10381.5  ,     150
10405.9  ,     144
10430.2  ,     127
10454.6  ,     135
10479.0  ,     114
10503.3  ,     129
10527.7  ,     154
10552.1  ,     149
10576.4  ,     161
10600.8  ,     137
10625.2  ,     130
10649.5  ,     122
10673.9  ,     148
10698.3  ,     129
10722.7  ,     125
10747.0  ,     136
10771.4  ,     153
10795.8  ,     122
10820.1  ,     140
10844.5  ,     151
10868.9  ,     160
10893.2  ,     154
10917.6  ,     162
10942.0  ,     164
10966.3  ,     176
10990.7  ,     169
11015.1  ,     156
11039.4  ,     177
11063.8  ,     167
11088.2  ,     174
11112.5  ,     149
11136.9  ,     174
11161.3  ,     143
11185.6  ,     151
11210.0  ,     163
11234.4  ,     154
11258.7  ,     190
11283.1  ,     164
11307.5  ,     188
11331.8  ,     202
11356.2  ,     196
11380.6  ,     229
11404.9  ,     198
11429.3  ,     202
11453.7  ,     211
11478.1  ,     220
11502.4  ,     214
11526.8  ,     226
11551.2  ,     252
11575.5  ,     245
11599.9  ,     291
11624.3  ,     265
11648.6  ,     332
11673.0  ,     349
11697.4  ,     397
11721.7  ,     512
11746.1  ,     608
11770.5  ,     837
11794.8  ,    1054
11819.2  ,    1329
11843.6  ,    1517
11867.9  ,    1699
11892.3  ,    1810
11916.7  ,    1762
11941.0  ,    1706
11965.4  ,    1506
11989.8  ,    1334
12014.1  ,    1038
12038.5  ,     878
12062.9  ,     729
12087.2  ,     548
12111.6  ,     539
12136.0  ,     470
12160.3  ,     392
12184.7  ,     365
12209.1  ,     307
12233.5  ,     284
12257.8  ,     264
12282.2  ,     237
12306.6  ,     200
12330.9  ,     184
12355.3  ,     216
12379.7  ,     226
12404.0  ,     193
12428.4  ,     177
12452.8  ,     197
12477.1  ,     215
12501.5  ,     211
12525.9  ,     256
12550.2  ,     220
12574.6  ,     245
12599.0  ,     241
12623.3  ,     304
12647.7  ,     292
12672.1  ,     292
12696.4  ,     277
12720.8  ,     310
12745.2  ,     293
12769.5  ,     320
12793.9  ,     359
12818.3  ,     332
12842.6  ,     303
12867.0  ,     351
12891.4  ,     361
12915.7  ,     377
12940.1  ,     448
12964.5  ,     465
12988.9  ,     508
13013.2  ,     531
13037.6  ,     517
13062.0  ,     551
13086.3  ,     624
13110.7  ,     731
13135.1  ,     836
13159.4  ,     904
13183.8  ,    1023
13208.2  ,    1105
13232.5  ,    1268
13256.9  ,    1493
13281.3  ,    1539
13305.6  ,    1656
13330.0  ,    1760
13354.4  ,    1870
13378.7  ,    1927
13403.1  ,    2051
13427.5  ,    2194
13451.8  ,    2117
13476.2  ,    2174
13500.6  ,    2189
13524.9  ,    2160
13549.3  ,    2135
13573.7  ,    2141
