"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.94    ,  0.13  
MgO     ,  7.70    ,  0.17  
Al2O3   ,  7.27    ,  0.19  
SiO2    , 42.92    ,  0.53  
P2O5    ,  0.71    ,  0.05  
SO3     ,  5.61    ,  0.07  
Cl      ,  1.31    ,  0.02  
K2O     ,  0.44    ,  0.02  
CaO     ,  5.12    ,  0.06  
TiO2    ,  1.20    ,  0.05  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.34    ,  0.01  
FeO     , 24.83    ,  0.26  
Ni      ,  0.0542  ,  0.0030
Zn      ,  0.0669  ,  0.0025
Br      ,  0.0473  ,  0.0015
