"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  5.27    ,  0.17  
Al2O3   ,  7.88    ,  0.19  
SiO2    , 43.06    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     , 11.27    ,  0.20  
Cl      ,  1.36    ,  0.04  
K2O     ,  0.86    ,  0.04  
CaO     ,  6.89    ,  0.08  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.13    ,  0.03  
FeO     , 18.32    ,  0.20  
Ni      ,  0.0787  ,  0.0040
Zn      ,  0.1045  ,  0.0035
Br      ,  0.0134  ,  0.0010
