"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  5.84    ,  0.17  
Al2O3   ,  8.51    ,  0.19  
SiO2    , 47.87    ,  0.54  
P2O5    ,  0.76    ,  0.07  
SO3     ,  4.52    ,  0.15  
Cl      ,  1.62    ,  0.06  
K2O     ,  1.04    ,  0.04  
CaO     ,  3.12    ,  0.07  
TiO2    ,  1.19    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.35    ,  0.03  
FeO     , 21.85    ,  0.26  
Ni      ,  0.0859  ,  0.0060
Zn      ,  0.2490  ,  0.0075
Br      ,  0.1609  ,  0.0050
