"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  5.50    ,  0.17  
Al2O3   ,  8.01    ,  0.19  
SiO2    , 40.69    ,  0.43  
P2O5    ,  0.98    ,  0.07  
SO3     , 14.90    ,  0.15  
Cl      ,  1.80    ,  0.03  
K2O     ,  0.51    ,  0.02  
CaO     ,  7.60    ,  0.08  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 15.92    ,  0.20  
Ni      ,  0.0754  ,  0.0040
Zn      ,  0.0700  ,  0.0025
Br      ,  0.0179  ,  0.0010
