"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.14  
MgO     ,  9.52    ,  0.25  
Al2O3   ,  7.14    ,  0.19  
SiO2    , 36.84    ,  0.43  
P2O5    ,  1.14    ,  0.07  
SO3     , 15.93    ,  0.17  
Cl      ,  1.23    ,  0.03  
K2O     ,  0.55    ,  0.02  
CaO     ,  6.08    ,  0.07  
TiO2    ,  0.85    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 17.40    ,  0.20  
Ni      ,  0.0791  ,  0.0040
Zn      ,  0.1962  ,  0.0060
Br      ,  0.0253  ,  0.0010
