"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.18    ,  0.14  
MgO     ,  5.63    ,  0.17  
Al2O3   ,  9.19    ,  0.19  
SiO2    , 47.36    ,  0.54  
P2O5    ,  1.26    ,  0.07  
SO3     ,  8.34    ,  0.17  
Cl      ,  0.95    ,  0.04  
K2O     ,  0.82    ,  0.04  
CaO     ,  3.37    ,  0.07  
TiO2    ,  0.98    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     , 19.03    ,  0.20  
Ni      ,  0.0878  ,  0.0050
Zn      ,  0.0960  ,  0.0035
Br      ,  0.0065  ,  0.0015
