"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.47    ,  0.20  
MgO     ,  8.54    ,  0.25  
Al2O3   ,  4.88    ,  0.19  
SiO2    , 35.53    ,  0.64  
P2O5    ,  1.44    ,  0.09  
SO3     , 15.31    ,  0.32  
Cl      ,  1.34    ,  0.06  
K2O     ,  0.69    ,  0.04  
CaO     , 13.69    ,  0.17  
TiO2    ,  0.62    ,  0.05  
Cr2O3   ,  0.25    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 15.71    ,  0.20  
Ni      ,  0.0549  ,  0.0055
Zn      ,  0.0894  ,  0.0045
Br      ,  0.0308  ,  0.0020
