"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  7.03    ,  0.17  
Al2O3   ,  9.44    ,  0.19  
SiO2    , 48.44    ,  0.54  
P2O5    ,  0.82    ,  0.05  
SO3     ,  4.16    ,  0.05  
Cl      ,  1.88    ,  0.03  
K2O     ,  0.75    ,  0.02  
CaO     ,  3.21    ,  0.04  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 19.49    ,  0.26  
Ni      ,  0.0640  ,  0.0035
Zn      ,  0.3699  ,  0.0115
Br      ,  0.0486  ,  0.0015
