"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.20  
MgO     ,  7.18    ,  0.25  
Al2O3   ,  9.27    ,  0.29  
SiO2    , 47.54    ,  0.64  
P2O5    ,  0.92    ,  0.07  
SO3     ,  4.58    ,  0.15  
Cl      ,  1.80    ,  0.06  
K2O     ,  0.70    ,  0.04  
CaO     ,  3.57    ,  0.08  
TiO2    ,  1.03    ,  0.07  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.34    ,  0.03  
FeO     , 19.51    ,  0.26  
Ni      ,  0.0747  ,  0.0060
Zn      ,  0.3690  ,  0.0115
Br      ,  0.0472  ,  0.0030
