"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.80    ,  0.14  
MgO     ,  5.52    ,  0.17  
Al2O3   ,  9.23    ,  0.19  
SiO2    , 48.57    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  7.01    ,  0.10  
Cl      ,  1.72    ,  0.03  
K2O     ,  1.01    ,  0.04  
CaO     ,  4.53    ,  0.06  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 17.02    ,  0.20  
Ni      ,  0.0704  ,  0.0040
Zn      ,  0.0845  ,  0.0030
Br      ,  0.0036  ,  0.0005
