"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.08    ,  0.14  
MgO     ,  9.25    ,  0.25  
Al2O3   ,  8.22    ,  0.19  
SiO2    , 39.18    ,  0.43  
P2O5    ,  0.64    ,  0.05  
SO3     ,  7.18    ,  0.08  
Cl      ,  1.61    ,  0.02  
K2O     ,  0.84    ,  0.04  
CaO     ,  6.36    ,  0.07  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.55    ,  0.01  
MnO     ,  0.56    ,  0.01  
FeO     , 21.58    ,  0.26  
Ni      ,  0.0357  ,  0.0020
Zn      ,  0.0331  ,  0.0010
Br      ,  0.0093  ,  0.0005
