"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.55  
MgO     ,  9.08    ,  1.83  
Al2O3   ,  9.30    ,  0.19  
SiO2    , 43.44    ,  0.54  
P2O5    ,  0.80    ,  0.19  
SO3     ,  5.47    ,  0.15  
Cl      ,  0.72    ,  0.04  
K2O     ,  0.52    ,  0.11  
CaO     ,  7.24    ,  0.10  
TiO2    ,  1.02    ,  0.22  
Cr2O3   ,  0.48    ,  0.03  
MnO     ,  0.40    ,  0.03  
FeO     , 18.83    ,  0.20  
Ni      ,  0.0480  ,  0.0045
Zn      ,  0.0324  ,  0.0025
Br      ,  0.0040  ,  0.0010
