"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.14  
MgO     ,  4.85    ,  0.17  
Al2O3   ,  9.62    ,  0.29  
SiO2    , 50.32    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  6.31    ,  0.10  
Cl      ,  1.10    ,  0.03  
K2O     ,  1.06    ,  0.04  
CaO     ,  4.49    ,  0.06  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 17.43    ,  0.20  
Ni      ,  0.0854  ,  0.0045
Zn      ,  0.0885  ,  0.0030
Br      ,  0.0022  ,  0.0005
