"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.86    ,  0.14  
MgO     ,  5.53    ,  0.17  
Al2O3   ,  9.93    ,  0.29  
SiO2    , 50.01    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  5.74    ,  0.10  
Cl      ,  1.72    ,  0.03  
K2O     ,  1.17    ,  0.04  
CaO     ,  3.70    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 16.85    ,  0.20  
Ni      ,  0.1004  ,  0.0055
Zn      ,  0.0589  ,  0.0020
Br      ,  0.0056  ,  0.0005
