"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.79    ,  0.14  
MgO     ,  6.08    ,  0.17  
Al2O3   ,  7.09    ,  0.19  
SiO2    , 35.54    ,  0.54  
P2O5    ,  2.13    ,  0.12  
SO3     ,  7.90    ,  0.17  
Cl      ,  2.12    ,  0.06  
K2O     ,  0.70    ,  0.02  
CaO     ,  3.25    ,  0.06  
TiO2    ,  0.79    ,  0.05  
Cr2O3   ,  0.27    ,  0.03  
MnO     ,  0.25    ,  0.03  
FeO     , 30.64    ,  0.33  
Ni      ,  0.0747  ,  0.0050
Zn      ,  0.0985  ,  0.0035
Br      ,  0.0503  ,  0.0020
