"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.14  
MgO     ,  6.99    ,  0.17  
Al2O3   ,  8.51    ,  0.19  
SiO2    , 41.36    ,  0.43  
P2O5    ,  0.89    ,  0.05  
SO3     , 11.47    ,  0.15  
Cl      ,  1.80    ,  0.04  
K2O     ,  0.63    ,  0.02  
CaO     ,  6.64    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.26    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 17.28    ,  0.20  
Ni      ,  0.0672  ,  0.0035
Zn      ,  0.1514  ,  0.0050
Br      ,  0.0287  ,  0.0010
