"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.48  
MgO     ,  5.63    ,  0.58  
Al2O3   ,  9.40    ,  0.67  
SiO2    , 49.45    ,  0.86  
P2O5    ,  0.80    ,  0.12  
SO3     ,  4.66    ,  0.20  
Cl      ,  1.07    ,  0.06  
K2O     ,  1.21    ,  0.05  
CaO     ,  2.59    ,  0.07  
TiO2    ,  1.13    ,  0.09  
Cr2O3   ,  0.29    ,  0.05  
MnO     ,  0.22    ,  0.04  
FeO     , 20.40    ,  0.26  
Ni      ,  0.0806  ,  0.0070
Zn      ,  0.1150  ,  0.0050
Br      ,  0.0370  ,  0.0025
