"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.20  
MgO     ,  9.16    ,  0.25  
Al2O3   ,  9.47    ,  0.29  
SiO2    , 44.75    ,  0.64  
P2O5    ,  0.81    ,  0.07  
SO3     ,  3.29    ,  0.15  
Cl      ,  0.50    ,  0.04  
K2O     ,  0.49    ,  0.04  
CaO     ,  7.29    ,  0.13  
TiO2    ,  0.88    ,  0.07  
Cr2O3   ,  0.57    ,  0.05  
MnO     ,  0.41    ,  0.04  
FeO     , 19.76    ,  0.26  
Ni      ,  0.0511  ,  0.0055
Zn      ,  0.0227  ,  0.0030
Br      ,  0.0021  ,  0.0010
