"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.14  
MgO     , 10.90    ,  0.25  
Al2O3   ,  8.63    ,  0.19  
SiO2    , 42.49    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  2.97    ,  0.08  
Cl      ,  0.53    ,  0.03  
K2O     ,  0.37    ,  0.02  
CaO     ,  7.05    ,  0.08  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.54    ,  0.03  
MnO     ,  0.42    ,  0.03  
FeO     , 21.77    ,  0.26  
Ni      ,  0.0823  ,  0.0045
Zn      ,  0.0219  ,  0.0015
Br      ,  0.0044  ,  0.0010
