"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.27  
MgO     ,  5.32    ,  0.25  
Al2O3   ,  9.34    ,  0.29  
SiO2    , 48.66    ,  0.86  
P2O5    ,  0.82    ,  0.07  
SO3     ,  5.76    ,  0.22  
Cl      ,  1.59    ,  0.08  
K2O     ,  0.98    ,  0.05  
CaO     ,  3.24    ,  0.10  
TiO2    ,  1.16    ,  0.07  
Cr2O3   ,  0.30    ,  0.05  
MnO     ,  0.06    ,  0.04  
FeO     , 19.88    ,  0.26  
Ni      ,  0.1000  ,  0.0080
Zn      ,  0.1010  ,  0.0055
Br      ,  0.0155  ,  0.0020
