"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  4.92    ,  0.17  
Al2O3   ,  8.62    ,  0.19  
SiO2    , 46.88    ,  0.54  
P2O5    ,  1.08    ,  0.07  
SO3     ,  3.20    ,  0.05  
Cl      ,  1.05    ,  0.02  
K2O     ,  1.06    ,  0.04  
CaO     ,  2.46    ,  0.03  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 26.24    ,  0.33  
Ni      ,  0.0849  ,  0.0045
Zn      ,  0.1384  ,  0.0045
Br      ,  0.0382  ,  0.0015
