"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  6.43    ,  0.17  
Al2O3   ,  8.94    ,  0.19  
SiO2    , 42.30    ,  0.43  
P2O5    ,  0.67    ,  0.05  
SO3     ,  5.76    ,  0.08  
Cl      ,  1.02    ,  0.02  
K2O     ,  0.88    ,  0.04  
CaO     ,  6.67    ,  0.07  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.58    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 22.40    ,  0.26  
Ni      ,  0.0196  ,  0.0010
Zn      ,  0.0787  ,  0.0025
Br      ,  0.0139  ,  0.0005
