"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  6.89    ,  0.17  
Al2O3   ,  8.74    ,  0.19  
SiO2    , 42.18    ,  0.43  
P2O5    ,  0.64    ,  0.05  
SO3     ,  5.56    ,  0.08  
Cl      ,  1.00    ,  0.02  
K2O     ,  0.56    ,  0.02  
CaO     ,  7.17    ,  0.08  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.70    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 22.30    ,  0.26  
Ni      ,  0.0165  ,  0.0010
Zn      ,  0.0799  ,  0.0025
Br      ,  0.0360  ,  0.0015
