"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  7.30    ,  0.17  
Al2O3   ,  9.11    ,  0.19  
SiO2    , 46.98    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  5.70    ,  0.08  
Cl      ,  1.77    ,  0.03  
K2O     ,  0.89    ,  0.04  
CaO     ,  3.43    ,  0.04  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.85    ,  0.03  
FeO     , 18.48    ,  0.20  
Ni      ,  0.0878  ,  0.0045
Zn      ,  0.3204  ,  0.0100
Br      ,  0.0311  ,  0.0010
