"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.20  
MgO     ,  7.21    ,  0.25  
Al2O3   ,  9.03    ,  0.29  
SiO2    , 47.26    ,  0.64  
P2O5    ,  0.85    ,  0.07  
SO3     ,  5.40    ,  0.17  
Cl      ,  1.55    ,  0.06  
K2O     ,  0.77    ,  0.04  
CaO     ,  4.06    ,  0.08  
TiO2    ,  0.97    ,  0.07  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.21    ,  0.03  
FeO     , 19.45    ,  0.26  
Ni      ,  0.0810  ,  0.0060
Zn      ,  0.2139  ,  0.0065
Br      ,  0.0774  ,  0.0025
