"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  2.37    ,  0.17  
Al2O3   ,  4.34    ,  0.19  
SiO2    , 52.89    ,  0.75  
P2O5    ,  1.22    ,  0.07  
SO3     , 11.76    ,  0.22  
Cl      ,  0.45    ,  0.03  
K2O     ,  0.33    ,  0.02  
CaO     ,  7.66    ,  0.10  
TiO2    ,  1.05    ,  0.05  
Cr2O3   ,  0.44    ,  0.03  
MnO     ,  0.15    ,  0.02  
FeO     , 14.71    ,  0.20  
Ni      ,  0.0282  ,  0.0030
Zn      ,  0.0154  ,  0.0015
Br      ,  0.0242  ,  0.0015
