"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.60    ,  0.14  
MgO     ,  5.83    ,  0.17  
Al2O3   ,  9.30    ,  0.19  
SiO2    , 48.04    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  5.04    ,  0.10  
Cl      ,  1.37    ,  0.04  
K2O     ,  1.16    ,  0.04  
CaO     ,  4.02    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.36    ,  0.03  
MnO     ,  0.12    ,  0.01  
FeO     , 20.03    ,  0.26  
Ni      ,  0.0780  ,  0.0040
Zn      ,  0.0926  ,  0.0030
Br      ,  0.0371  ,  0.0015
