"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.14  
MgO     ,  5.14    ,  0.17  
Al2O3   ,  9.50    ,  0.29  
SiO2    , 50.30    ,  0.54  
P2O5    ,  0.65    ,  0.05  
SO3     ,  3.87    ,  0.10  
Cl      ,  1.17    ,  0.04  
K2O     ,  1.29    ,  0.05  
CaO     ,  3.16    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.11    ,  0.01  
FeO     , 20.38    ,  0.26  
Ni      ,  0.0798  ,  0.0040
Zn      ,  0.0981  ,  0.0030
Br      ,  0.0295  ,  0.0010
