"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.17    ,  0.07  
MgO     ,  3.77    ,  0.08  
Al2O3   ,  8.46    ,  0.19  
SiO2    , 46.20    ,  0.54  
P2O5    ,  0.92    ,  0.05  
SO3     , 10.86    ,  0.12  
Cl      ,  0.89    ,  0.02  
K2O     ,  0.80    ,  0.02  
CaO     ,  6.53    ,  0.07  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.16    ,  0.01  
FeO     , 17.57    ,  0.20  
Ni      ,  0.0789  ,  0.0040
Zn      ,  0.1497  ,  0.0045
Br      ,  0.0313  ,  0.0010
