"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.50    ,  0.07  
MgO     ,  5.65    ,  0.17  
Al2O3   ,  5.29    ,  0.19  
SiO2    , 30.93    ,  0.32  
P2O5    ,  0.88    ,  0.05  
SO3     , 12.18    ,  0.12  
Cl      ,  1.66    ,  0.03  
K2O     ,  0.09    ,  0.01  
CaO     , 25.26    ,  0.27  
TiO2    ,  0.52    ,  0.02  
Cr2O3   ,  0.19    ,  0.01  
MnO     ,  0.87    ,  0.03  
FeO     , 14.61    ,  0.20  
Ni      ,  0.0559  ,  0.0030
Zn      ,  0.1938  ,  0.0060
Br      ,  0.0189  ,  0.0010
