"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
 7208.3  ,     354
 7232.6  ,     253
 7257.0  ,     137
 7281.3  ,      95
 7305.7  ,      89
 7330.0  ,      86
 7354.4  ,      79
 7378.8  ,      81
 7403.1  ,      96
 7427.5  ,     106
 7451.8  ,     110
 7476.2  ,      93
 7500.5  ,      95
 7524.9  ,      80
 7549.2  ,      81
 7573.6  ,      93
 7597.9  ,      73
 7622.3  ,      63
 7646.6  ,      80
 7671.0  ,      70
 7695.3  ,      81
 7719.7  ,      71
 7744.0  ,      86
 7768.4  ,      65
 7792.7  ,      74
 7817.1  ,      76
 7841.4  ,      70
 7865.8  ,      75
 7890.1  ,      91
 7914.5  ,      99
 7938.8  ,      73
 7963.2  ,      78
 7987.5  ,      83
 8011.9  ,      82
 8036.2  ,      85
 8060.6  ,      85
 8084.9  ,      82
 8109.3  ,      68
 8133.6  ,      73
 8158.0  ,      75
 8182.3  ,      73
 8206.7  ,      77
 8231.1  ,      70
 8255.4  ,      76
 8279.8  ,      70
 8304.1  ,      78
 8328.5  ,      62
 8352.8  ,      80
 8377.2  ,      76
 8401.5  ,      77
 8425.9  ,     113
 8450.2  ,     126
 8474.6  ,     141
 8498.9  ,     176
 8523.3  ,     237
 8547.6  ,     286
 8572.0  ,     343
 8596.3  ,     391
 8620.7  ,     356
 8645.0  ,     366
 8669.4  ,     279
 8693.7  ,     251
 8718.1  ,     184
 8742.4  ,     143
 8766.8  ,     115
 8791.1  ,      95
 8815.5  ,      80
 8839.8  ,      49
 8864.2  ,      71
 8888.5  ,      64
 8912.9  ,      65
 8937.2  ,      55
 8961.6  ,      85
 8985.9  ,      76
 9010.3  ,      68
 9034.6  ,      62
 9059.0  ,      59
 9083.4  ,      80
 9107.7  ,      77
 9132.1  ,      97
 9156.4  ,     102
 9180.8  ,     108
 9205.1  ,      98
 9229.5  ,      89
 9253.8  ,     106
 9278.2  ,     105
 9302.5  ,     106
