"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.71    ,  0.14  
MgO     ,  5.05    ,  0.17  
Al2O3   , 13.36    ,  0.29  
SiO2    , 46.93    ,  0.54  
P2O5    ,  3.20    ,  0.16  
SO3     ,  5.93    ,  0.10  
Cl      ,  1.41    ,  0.03  
K2O     ,  0.61    ,  0.02  
CaO     ,  9.84    ,  0.11  
TiO2    ,  0.42    ,  0.03  
Cr2O3   ,  0.08    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     ,  9.12    ,  0.13  
Ni      ,  0.0069  ,  0.0015
Zn      ,  0.0388  ,  0.0015
Br      ,  0.0052  ,  0.0005
