"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.20  
MgO     ,  6.31    ,  0.25  
Al2O3   ,  8.57    ,  0.29  
SiO2    , 46.21    ,  0.64  
P2O5    ,  1.04    ,  0.07  
SO3     ,  6.86    ,  0.20  
Cl      ,  1.65    ,  0.06  
K2O     ,  0.93    ,  0.04  
CaO     ,  4.32    ,  0.08  
TiO2    ,  1.03    ,  0.05  
Cr2O3   ,  0.37    ,  0.05  
MnO     ,  0.23    ,  0.03  
FeO     , 19.58    ,  0.26  
Ni      ,  0.1127  ,  0.0070
Zn      ,  0.2281  ,  0.0070
Br      ,  0.0673  ,  0.0025
