"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.79    ,  0.14  
MgO     ,  7.60    ,  0.17  
Al2O3   ,  9.55    ,  0.29  
SiO2    , 50.33    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  4.26    ,  0.08  
Cl      ,  0.62    ,  0.02  
K2O     ,  0.89    ,  0.04  
CaO     ,  3.97    ,  0.04  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 17.26    ,  0.20  
Ni      ,  0.0683  ,  0.0035
Zn      ,  0.0963  ,  0.0030
Br      ,  0.0068  ,  0.0005
