"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  6.58    ,  0.17  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 43.23    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  8.85    ,  0.12  
Cl      ,  0.98    ,  0.03  
K2O     ,  0.64    ,  0.02  
CaO     ,  6.09    ,  0.07  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.42    ,  0.01  
FeO     , 19.87    ,  0.26  
Ni      ,  0.1077  ,  0.0055
Zn      ,  0.1853  ,  0.0060
Br      ,  0.0266  ,  0.0010
