"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  6.93    ,  0.17  
Al2O3   ,  9.02    ,  0.19  
SiO2    , 44.45    ,  0.54  
P2O5    ,  0.80    ,  0.05  
SO3     ,  5.44    ,  0.10  
Cl      ,  0.98    ,  0.03  
K2O     ,  0.95    ,  0.04  
CaO     ,  4.73    ,  0.06  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.41    ,  0.03  
MnO     ,  0.24    ,  0.01  
FeO     , 22.05    ,  0.26  
Ni      ,  0.0869  ,  0.0045
Zn      ,  0.1037  ,  0.0035
Br      ,  0.0219  ,  0.0010
