"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.96    ,  0.41  
MgO     ,  8.58    ,  1.75  
Al2O3   ,  7.57    ,  0.19  
SiO2    , 38.99    ,  0.43  
P2O5    ,  1.03    ,  0.21  
SO3     , 14.68    ,  0.15  
Cl      ,  1.08    ,  0.03  
K2O     ,  0.61    ,  0.13  
CaO     ,  6.20    ,  0.07  
TiO2    ,  0.94    ,  0.21  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.28    ,  0.03  
FeO     , 17.50    ,  0.20  
Ni      ,  0.0773  ,  0.0040
Zn      ,  0.0895  ,  0.0030
Br      ,  0.0293  ,  0.0010
