"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  7.90    ,  0.17  
Al2O3   ,  8.60    ,  0.19  
SiO2    , 45.39    ,  0.54  
P2O5    ,  0.92    ,  0.07  
SO3     ,  5.24    ,  0.08  
Cl      ,  1.17    ,  0.02  
K2O     ,  0.65    ,  0.02  
CaO     ,  5.12    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.42    ,  0.01  
MnO     ,  0.37    ,  0.01  
FeO     , 20.36    ,  0.26  
Ni      ,  0.0818  ,  0.0045
Zn      ,  0.1621  ,  0.0050
Br      ,  0.0469  ,  0.0015
