"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  7.55    ,  0.17  
Al2O3   ,  8.76    ,  0.19  
SiO2    , 45.54    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  6.28    ,  0.12  
Cl      ,  1.50    ,  0.04  
K2O     ,  0.81    ,  0.04  
CaO     ,  4.62    ,  0.06  
TiO2    ,  1.04    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.20    ,  0.01  
FeO     , 19.50    ,  0.26  
Ni      ,  0.0922  ,  0.0050
Zn      ,  0.2506  ,  0.0080
Br      ,  0.0544  ,  0.0020
