"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.20  
MgO     ,  7.20    ,  0.42  
Al2O3   ,  9.98    ,  0.58  
SiO2    , 47.54    ,  0.96  
P2O5    ,  0.98    ,  0.12  
SO3     ,  7.07    ,  0.38  
Cl      ,  0.89    ,  0.05  
K2O     ,  0.79    ,  0.05  
CaO     ,  5.05    ,  0.27  
TiO2    ,  1.15    ,  0.07  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.23    ,  0.04  
FeO     , 15.70    ,  0.33  
Ni      ,  0.0403  ,  0.0040
Zn      ,  0.1577  ,  0.0080
Br      ,  0.0121  ,  0.0010
