"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.47    ,  0.14  
MgO     ,  7.41    ,  0.42  
Al2O3   ,  9.37    ,  0.48  
SiO2    , 45.04    ,  0.96  
P2O5    ,  0.94    ,  0.12  
SO3     ,  6.68    ,  0.35  
Cl      ,  0.94    ,  0.05  
K2O     ,  0.78    ,  0.05  
CaO     ,  5.01    ,  0.25  
TiO2    ,  1.11    ,  0.07  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.37    ,  0.04  
FeO     , 19.25    ,  0.39  
Ni      ,  0.0485  ,  0.0040
Zn      ,  0.1434  ,  0.0075
Br      ,  0.0138  ,  0.0010
