"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.03    ,  0.20  
MgO     ,  6.05    ,  0.25  
Al2O3   ,  7.50    ,  0.29  
SiO2    , 40.36    ,  0.54  
P2O5    ,  1.07    ,  0.09  
SO3     , 12.86    ,  0.28  
Cl      ,  1.31    ,  0.06  
K2O     ,  0.64    ,  0.04  
CaO     ,  8.22    ,  0.11  
TiO2    ,  0.95    ,  0.09  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 17.96    ,  0.20  
Ni      ,  0.0759  ,  0.0055
Zn      ,  0.1478  ,  0.0050
Br      ,  0.0313  ,  0.0020
