"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  4.14    ,  0.08  
Al2O3   ,  6.88    ,  0.19  
SiO2    , 58.78    ,  0.64  
P2O5    ,  1.65    ,  0.09  
SO3     ,  9.18    ,  0.10  
Cl      ,  0.94    ,  0.02  
K2O     ,  0.44    ,  0.02  
CaO     ,  5.95    ,  0.07  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.45    ,  0.01  
MnO     ,  0.08    ,  0.01  
FeO     ,  7.71    ,  0.13  
Ni      ,  0.0122  ,  0.0010
Zn      ,  0.0210  ,  0.0010
Br      ,  0.0601  ,  0.0020
