"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.03    ,  0.14  
MgO     ,  4.14    ,  0.08  
Al2O3   ,  7.21    ,  0.19  
SiO2    , 35.43    ,  0.43  
P2O5    ,  0.94    ,  0.07  
SO3     , 16.85    ,  0.20  
Cl      ,  2.28    ,  0.04  
K2O     ,  0.57    ,  0.02  
CaO     ,  9.16    ,  0.10  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 19.77    ,  0.26  
Ni      ,  0.0877  ,  0.0045
Zn      ,  0.0877  ,  0.0030
Br      ,  0.0229  ,  0.0010
