"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.73    ,  0.14  
MgO     ,  8.65    ,  0.25  
Al2O3   ,  9.50    ,  0.29  
SiO2    , 43.29    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.24    ,  0.08  
Cl      ,  0.72    ,  0.02  
K2O     ,  0.55    ,  0.02  
CaO     ,  7.49    ,  0.08  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 18.91    ,  0.20  
Ni      ,  0.0648  ,  0.0035
Zn      ,  0.0256  ,  0.0010
Br      ,  0.0055  ,  0.0005
