"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.84    ,  0.14  
MgO     ,  8.16    ,  0.17  
Al2O3   ,  9.91    ,  0.29  
SiO2    , 45.33    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  4.98    ,  0.08  
Cl      ,  0.72    ,  0.02  
K2O     ,  0.56    ,  0.02  
CaO     ,  7.22    ,  0.08  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 17.53    ,  0.20  
Ni      ,  0.0617  ,  0.0035
Zn      ,  0.0229  ,  0.0010
Br      ,  0.0072  ,  0.0005
