"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.07    ,  0.20  
MgO     ,  4.59    ,  0.25  
Al2O3   ,  6.72    ,  0.29  
SiO2    , 37.47    ,  0.64  
P2O5    ,  0.86    ,  0.07  
SO3     , 18.29    ,  0.35  
Cl      ,  0.82    ,  0.05  
K2O     ,  0.67    ,  0.04  
CaO     , 11.55    ,  0.15  
TiO2    ,  0.79    ,  0.07  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.17    ,  0.03  
FeO     , 15.33    ,  0.20  
Ni      ,  0.0466  ,  0.0050
Zn      ,  0.0939  ,  0.0045
Br      ,  0.0363  ,  0.0025
