"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.96    ,  0.14  
MgO     ,  3.67    ,  0.08  
Al2O3   , 13.59    ,  0.29  
SiO2    , 46.89    ,  0.54  
P2O5    ,  0.69    ,  0.05  
SO3     ,  5.68    ,  0.08  
Cl      ,  1.75    ,  0.02  
K2O     ,  0.57    ,  0.02  
CaO     ,  5.44    ,  0.06  
TiO2    ,  0.70    ,  0.03  
Cr2O3   ,  0.03    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 16.82    ,  0.20  
Ni      ,  0.0067  ,  0.0010
Zn      ,  0.0205  ,  0.0010
Br      ,  0.0172  ,  0.0010
