"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.61    ,  0.14  
MgO     ,  6.68    ,  0.17  
Al2O3   ,  9.36    ,  0.19  
SiO2    , 47.37    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  3.62    ,  0.10  
Cl      ,  0.75    ,  0.03  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.55    ,  0.06  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.42    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 21.50    ,  0.26  
Ni      ,  0.0678  ,  0.0035
Zn      ,  0.0690  ,  0.0025
Br      ,  0.0035  ,  0.0010
