"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.20  
MgO     ,  5.76    ,  0.25  
Al2O3   ,  9.52    ,  0.38  
SiO2    , 48.27    ,  0.54  
P2O5    ,  0.64    ,  0.05  
SO3     ,  3.48    ,  0.10  
Cl      ,  0.77    ,  0.03  
K2O     ,  1.09    ,  0.04  
CaO     ,  3.90    ,  0.06  
TiO2    ,  1.06    ,  0.05  
Cr2O3   ,  0.37    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     , 22.01    ,  0.26  
Ni      ,  0.0674  ,  0.0035
Zn      ,  0.0749  ,  0.0025
Br      ,  0.0026  ,  0.0010
